Signal,Label,Transducer,Units,Min,Max,Dmin,Dmax,PreFilter,Smp/Rec,Reserved
1,EEG Fp1-LE      ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
2,EEG F3-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
3,EEG C3-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
4,EEG P3-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
5,EEG O1-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
6,EEG F7-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
7,EEG T3-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
8,EEG T5-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
9,EEG Fz-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
10,EEG Fp2-LE      ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
11,EEG F4-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
12,EEG C4-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
13,EEG P4-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
14,EEG O2-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
15,EEG F8-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
16,EEG T4-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
17,EEG T6-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
18,EEG Cz-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
19,EEG Pz-LE       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
20,EEG A2-A1       ,                                                                                ,uV      ,-3277.000000,3277.000000,-32768,32767,HP:0.5Hz LP:80Hz                                                                ,256,                                
